date,nav,acc_nav,daily_growth_pct,source
2022-04-06,1.009,3.57,-1.46,eastmoney
2022-04-07,1.0,3.561,-0.89,eastmoney
2022-04-08,0.995,3.556,-0.5,eastmoney
2022-04-11,0.973,3.534,-2.21,eastmoney
2022-04-12,0.979,3.54,0.62,eastmoney
2022-04-13,0.961,3.522,-1.84,eastmoney
2022-04-14,0.97,3.531,0.94,eastmoney
2022-04-15,0.964,3.525,-0.62,eastmoney
2022-04-18,0.977,3.538,1.35,eastmoney
2022-04-19,0.976,3.537,-0.1,eastmoney
2022-04-20,0.96,3.521,-1.64,eastmoney
2022-04-21,0.938,3.499,-2.29,eastmoney
2022-04-22,0.933,3.494,-0.53,eastmoney
2022-04-25,0.891,3.452,-4.5,eastmoney
2022-04-26,0.872,3.433,-2.13,eastmoney
2022-04-27,0.906,3.467,3.9,eastmoney
2022-04-28,0.908,3.469,0.22,eastmoney
2022-04-29,0.936,3.497,3.08,eastmoney
2022-05-05,0.951,3.512,1.6,eastmoney
2022-05-06,0.937,3.498,-1.47,eastmoney
2022-05-09,0.946,3.507,0.96,eastmoney
2022-05-10,0.956,3.517,1.06,eastmoney
2022-05-11,0.958,3.519,0.21,eastmoney
2022-05-12,0.959,3.52,0.1,eastmoney
2022-05-13,0.962,3.523,0.31,eastmoney
2022-05-16,0.956,3.517,-0.62,eastmoney
2022-05-17,0.966,3.527,1.05,eastmoney
2022-05-18,0.961,3.522,-0.52,eastmoney
2022-05-19,0.965,3.526,0.42,eastmoney
2022-05-20,0.971,3.532,0.62,eastmoney
2022-05-23,0.97,3.531,-0.1,eastmoney
2022-05-24,0.947,3.508,-2.37,eastmoney
2022-05-25,0.955,3.516,0.84,eastmoney
2022-05-26,0.966,3.527,1.15,eastmoney
2022-05-27,0.962,3.523,-0.41,eastmoney
2022-05-30,0.972,3.533,1.04,eastmoney
2022-05-31,0.982,3.543,1.03,eastmoney
2022-06-01,0.986,3.547,0.41,eastmoney
2022-06-02,0.993,3.554,0.71,eastmoney
2022-06-06,1.015,3.576,2.22,eastmoney
2022-06-07,1.012,3.573,-0.3,eastmoney
2022-06-08,1.013,3.574,0.1,eastmoney
2022-06-09,0.998,3.559,-1.48,eastmoney
2022-06-10,1.022,3.583,2.4,eastmoney
2022-06-13,1.024,3.585,0.2,eastmoney
2022-06-14,1.013,3.574,-1.07,eastmoney
2022-06-15,1.01,3.571,-0.3,eastmoney
2022-06-16,1.014,3.575,0.4,eastmoney
2022-06-17,1.023,3.584,0.89,eastmoney
2022-06-20,1.035,3.596,1.17,eastmoney
2022-06-21,1.023,3.584,-1.16,eastmoney
2022-06-22,1.013,3.574,-0.98,eastmoney
2022-06-23,1.04,3.601,2.67,eastmoney
2022-06-24,1.066,3.627,2.5,eastmoney
2022-06-27,1.074,3.635,0.75,eastmoney
2022-06-28,1.086,3.647,1.12,eastmoney
2022-06-29,1.062,3.623,-2.21,eastmoney
2022-06-30,1.073,3.634,1.04,eastmoney
2022-07-01,1.069,3.63,-0.37,eastmoney
2022-07-04,1.097,3.658,2.62,eastmoney
2022-07-05,1.093,3.654,-0.36,eastmoney
2022-07-06,1.085,3.646,-0.73,eastmoney
2022-07-07,1.101,3.662,1.47,eastmoney
2022-07-08,1.086,3.647,-1.36,eastmoney
2022-07-11,1.077,3.638,-0.83,eastmoney
2022-07-12,1.059,3.62,-1.67,eastmoney
2022-07-13,1.057,3.618,-0.19,eastmoney
2022-07-14,1.075,3.636,1.7,eastmoney
2022-07-15,1.066,3.627,-0.84,eastmoney
2022-07-18,1.061,3.622,-0.47,eastmoney
2022-07-19,1.053,3.614,-0.75,eastmoney
2022-07-20,1.07,3.631,1.61,eastmoney
2022-07-21,1.064,3.625,-0.56,eastmoney
2022-07-22,1.061,3.622,-0.28,eastmoney
2022-07-25,1.062,3.623,0.09,eastmoney
2022-07-26,1.068,3.629,0.56,eastmoney
2022-07-27,1.073,3.634,0.47,eastmoney
2022-07-28,1.077,3.638,0.37,eastmoney
2022-07-29,1.065,3.626,-1.11,eastmoney
2022-08-01,1.073,3.634,0.75,eastmoney
2022-08-02,1.065,3.626,-0.75,eastmoney
2022-08-03,1.077,3.638,1.13,eastmoney
2022-08-04,1.073,3.634,-0.37,eastmoney
2022-08-05,1.073,3.634,0.0,eastmoney
2022-08-08,1.097,3.658,2.24,eastmoney
2022-08-09,1.115,3.676,1.64,eastmoney
2022-08-10,1.119,3.68,0.36,eastmoney
2022-08-11,1.116,3.677,-0.27,eastmoney
2022-08-12,1.096,3.657,-1.79,eastmoney
2022-08-15,1.103,3.664,0.64,eastmoney
2022-08-16,1.112,3.673,0.82,eastmoney
2022-08-17,1.105,3.666,-0.63,eastmoney
2022-08-18,1.124,3.685,1.72,eastmoney
2022-08-19,1.113,3.674,-0.98,eastmoney
2022-08-22,1.125,3.686,1.08,eastmoney
2022-08-23,1.129,3.69,0.36,eastmoney
2022-08-24,1.096,3.657,-2.92,eastmoney
2022-08-25,1.088,3.649,-0.73,eastmoney
2022-08-26,1.07,3.631,-1.65,eastmoney
2022-08-29,1.079,3.64,0.84,eastmoney
2022-08-30,1.071,3.632,-0.74,eastmoney
2022-08-31,1.046,3.607,-2.33,eastmoney
2022-09-01,1.044,3.605,-0.19,eastmoney
2022-09-02,1.048,3.609,0.38,eastmoney
2022-09-05,1.053,3.614,0.48,eastmoney
2022-09-06,1.076,3.637,2.18,eastmoney
2022-09-07,1.091,3.652,1.39,eastmoney
2022-09-08,1.094,3.655,0.27,eastmoney
2022-09-09,1.088,3.649,-0.55,eastmoney
2022-09-13,1.091,3.652,0.28,eastmoney
2022-09-14,1.102,3.663,1.01,eastmoney
2022-09-15,1.076,3.637,-2.36,eastmoney
2022-09-16,1.078,3.639,0.19,eastmoney
2022-09-19,1.064,3.625,-1.3,eastmoney
2022-09-20,1.065,3.626,0.09,eastmoney
2022-09-21,1.056,3.617,-0.85,eastmoney
2022-09-22,1.075,3.636,1.8,eastmoney
2022-09-23,1.067,3.628,-0.74,eastmoney
2022-09-26,1.063,3.624,-0.37,eastmoney
2022-09-27,1.08,3.641,1.6,eastmoney
2022-09-28,1.058,3.619,-2.04,eastmoney
2022-09-29,1.064,3.625,0.57,eastmoney
2022-09-30,1.041,3.602,-2.16,eastmoney
2022-10-10,1.025,3.586,-1.54,eastmoney
2022-10-11,1.024,3.585,-0.1,eastmoney
2022-10-12,1.039,3.6,1.46,eastmoney
2022-10-13,1.052,3.613,1.25,eastmoney
2022-10-14,1.067,3.628,1.43,eastmoney
2022-10-17,1.075,3.636,0.75,eastmoney
2022-10-18,1.087,3.648,1.12,eastmoney
2022-10-19,1.077,3.638,-0.92,eastmoney
2022-10-20,1.071,3.632,-0.56,eastmoney
2022-10-21,1.067,3.628,-0.37,eastmoney
2022-10-24,1.095,3.656,2.62,eastmoney
2022-10-25,1.089,3.65,-0.55,eastmoney
2022-10-26,1.089,3.65,0.0,eastmoney
2022-10-27,1.076,3.637,-1.19,eastmoney
2022-10-28,1.071,3.632,-0.46,eastmoney
2022-10-31,1.086,3.647,1.4,eastmoney
2022-11-01,1.089,3.65,0.28,eastmoney
2022-11-02,1.077,3.638,-1.1,eastmoney
2022-11-03,1.085,3.646,0.74,eastmoney
2022-11-04,1.091,3.652,0.55,eastmoney
2022-11-07,1.075,3.636,-1.47,eastmoney
2022-11-08,1.069,3.63,-0.56,eastmoney
