date,nav,source,daily_growth_pct,acc_nav
2019-05-17,1.4044,akshare_fund_open_fund_info_em,-3.0713,1.4544
2019-05-20,1.3781,akshare_fund_open_fund_info_em,-1.8727,1.4281
2019-05-21,1.4109,akshare_fund_open_fund_info_em,2.3801,1.4609
2019-05-22,1.4143,akshare_fund_open_fund_info_em,0.241,1.4643
2019-05-23,1.3774,akshare_fund_open_fund_info_em,-2.6091,1.4274
2019-05-24,1.3725,akshare_fund_open_fund_info_em,-0.3557,1.4225
2019-05-27,1.4035,akshare_fund_open_fund_info_em,2.2587,1.4535
2019-05-28,1.424,akshare_fund_open_fund_info_em,1.4606,1.474
2019-05-29,1.417,akshare_fund_open_fund_info_em,-0.4916,1.467
2019-05-30,1.4124,akshare_fund_open_fund_info_em,-0.3246,1.4624
2019-05-31,1.4134,akshare_fund_open_fund_info_em,0.0708,1.4634
2019-06-03,1.4176,akshare_fund_open_fund_info_em,0.2972,1.4676
2019-06-04,1.3982,akshare_fund_open_fund_info_em,-1.3685,1.4482
2019-06-05,1.3848,akshare_fund_open_fund_info_em,-0.9584,1.4348
2019-06-06,1.3589,akshare_fund_open_fund_info_em,-1.8703,1.4089
2019-06-10,1.3686,akshare_fund_open_fund_info_em,0.7138,1.4186
2019-06-11,1.4028,akshare_fund_open_fund_info_em,2.4989,1.4528
2019-06-12,1.3977,akshare_fund_open_fund_info_em,-0.3636,1.4477
2019-06-13,1.3987,akshare_fund_open_fund_info_em,0.0715,1.4487
2019-06-14,1.3921,akshare_fund_open_fund_info_em,-0.4719,1.4421
2019-06-17,1.3896,akshare_fund_open_fund_info_em,-0.1796,1.4396
2019-06-18,1.3945,akshare_fund_open_fund_info_em,0.3526,1.4445
2019-06-19,1.4052,akshare_fund_open_fund_info_em,0.7673,1.4552
2019-06-20,1.4225,akshare_fund_open_fund_info_em,1.2311,1.4725
2019-06-21,1.4263,akshare_fund_open_fund_info_em,0.2671,1.4763
2019-06-24,1.4254,akshare_fund_open_fund_info_em,-0.0631,1.4754
2019-06-25,1.4183,akshare_fund_open_fund_info_em,-0.4981,1.4683
2019-06-26,1.4281,akshare_fund_open_fund_info_em,0.691,1.4781
2019-06-27,1.4403,akshare_fund_open_fund_info_em,0.8543,1.4903
2019-06-28,1.4434,akshare_fund_open_fund_info_em,0.2152,1.4934
2019-06-30,1.4433,akshare_fund_open_fund_info_em,0.0,1.4933
2019-07-01,1.4801,akshare_fund_open_fund_info_em,2.5426,1.5301
2019-07-02,1.4818,akshare_fund_open_fund_info_em,0.1149,1.5318
2019-07-03,1.4639,akshare_fund_open_fund_info_em,-1.208,1.5139
2019-07-04,1.4488,akshare_fund_open_fund_info_em,-1.0315,1.4988
2019-07-05,1.4664,akshare_fund_open_fund_info_em,1.2148,1.5164
2019-07-08,1.4508,akshare_fund_open_fund_info_em,-1.0638,1.5008
2019-07-09,1.4567,akshare_fund_open_fund_info_em,0.4067,1.5067
2019-07-10,1.4499,akshare_fund_open_fund_info_em,-0.4668,1.4999
2019-07-11,1.4479,akshare_fund_open_fund_info_em,-0.1379,1.4979
2019-07-12,1.4543,akshare_fund_open_fund_info_em,0.442,1.5043
2019-07-15,1.4721,akshare_fund_open_fund_info_em,1.224,1.5221
2019-07-16,1.4736,akshare_fund_open_fund_info_em,0.1019,1.5236
2019-07-17,1.482,akshare_fund_open_fund_info_em,0.57,1.532
2019-07-18,1.4695,akshare_fund_open_fund_info_em,-0.8435,1.5195
2019-07-19,1.4747,akshare_fund_open_fund_info_em,0.3539,1.5247
2019-07-22,1.467,akshare_fund_open_fund_info_em,-0.5221,1.517
2019-07-23,1.4742,akshare_fund_open_fund_info_em,0.4908,1.5242
2019-07-24,1.4841,akshare_fund_open_fund_info_em,0.6716,1.5341
2019-07-25,1.4916,akshare_fund_open_fund_info_em,0.5054,1.5416
2019-07-26,1.4961,akshare_fund_open_fund_info_em,0.3017,1.5461
2019-07-29,1.5032,akshare_fund_open_fund_info_em,0.4746,1.5532
2019-07-30,1.5112,akshare_fund_open_fund_info_em,0.5322,1.5612
2019-07-31,1.5015,akshare_fund_open_fund_info_em,-0.6419,1.5515
2019-08-01,1.4966,akshare_fund_open_fund_info_em,-0.3263,1.5466
